station_code,station_name,station_name_medium,station_uic,station_type,station_tier,is_junction,country,lat,lng
HB,Hoensbroek,Hoensbroek,8400326,stoptreinstation,Local station,False,NL,50.905555725098,5.9305553436279
HVL,Hoevelaken,Hoevelaken,8400490,stoptreinstation,Local station,False,NL,52.16652,5.45718
HOR,Hollandsche Rading,Holl. Rading,8400327,stoptreinstation,Local station,False,NL,52.17777633667,5.1791667938232
HON,Holten,Holten,8400328,stoptreinstation,Local station,False,NL,52.283889770508,6.42027759552
HFD,Hoofddorp,Hoofddorp,8400332,stoptreinstation,Local station,False,NL,52.293334960938,4.7005553245544
HGV,Hoogeveen,Hoogeveen,8400330,stoptreinstation,Local station,False,NL,52.733890533447,6.4736108779907
HGZ,Hoogezand-Sappemeer,Hoogezand-Sap.,8400331,knooppuntStoptreinstation,Local station,True,NL,53.159818131676,6.7707538604736
HKS,Hoogkarspel,Hoogkarspel,8400334,stoptreinstation,Local station,False,NL,52.69055557251,5.1838889122009
HN,Hoorn,Hoorn,8400337,knooppuntIntercitystation,Intercity station,True,NL,52.644721984863,5.0555553436279
HNK,Hoorn Kersenboogerd,Kersenboogerd,8400336,stoptreinstation,Local station,False,NL,52.653610229492,5.0855555534363
HRT,Horst-Sevenum,Horst-Sevenum,8400339,stoptreinstation,Local station,False,NL,51.426387786865,6.0422220230103
HTN,Houten,Houten,8400340,knooppuntStoptreinstation,Local station,True,NL,52.03402,5.16821
HTNC,Houten Castellum,Castellum,8400335,stoptreinstation,Local station,False,NL,52.01701,5.17949
SGL,Houthem-St. Gerlach,Houthem-St Gerl.,8400341,stoptreinstation,Local station,False,NL,50.873332977295,5.7972221374512
HDG,Hurdegaryp,Hurdegaryp,8400292,stoptreinstation,Local station,False,NL,53.2187783,5.934543
IJT,IJlst,IJlst,8400722,stoptreinstation,Local station,False,NL,53.0146614,5.6160801
KPN,Kampen,Kampen,8400353,stoptreinstation,Local station,False,NL,52.559722900391,5.9216666221619
KPNZ,Kampen Zuid,Kampen Zuid,8400360,stoptreinstation,Local station,False,NL,52.5331,5.91309
BZL,Kapelle-Biezelinge,Kapelle-Biezel.,8400354,stoptreinstation,Local station,False,NL,51.480834960938,3.9561111927033
KRD,Kerkrade Centrum,Kerkrade C.,8400355,knooppuntStoptreinstation,Local station,True,NL,50.861667633057,6.0574998855591
KTR,Kesteren,Kesteren,8400359,stoptreinstation,Local station,False,NL,51.9313869,5.5833465
KBK,Klarenbeek,Klarenbeek,8400361,stoptreinstation,Local station,False,NL,52.17805480957,6.0836110115051
KMR,Klimmen-Ransdaal,Klimmen-Ransdaal,8400362,stoptreinstation,Local station,False,NL,50.866390228271,5.8905553817749
KZ,Koog aan de Zaan,Koog a.d. Zaan,8400363,stoptreinstation,Local station,False,NL,52.458610534668,4.8055553436279
KMW,Koudum-Molkwerum,Koudum-Molkwerum,8400366,stoptreinstation,Local station,False,NL,52.9028197,5.4106913
KBD,Krabbendijke,Krabbendijke,8400367,stoptreinstation,Local station,False,NL,51.433334350586,4.1169443130493
KMA,Krommenie-Assendelft,Krommenie-Ass.,8400368,stoptreinstation,Local station,False,NL,52.49511,4.75417
KW,Kropswolde,Kropswolde,8400369,stoptreinstation,Local station,False,NL,53.1617362,6.7220882
KRG,Kruiningen-Yerseke,Kruiningen-Y.,8400370,stoptreinstation,Local station,False,NL,51.465000152588,4.0372223854065
ZLW,Lage Zwaluwe,Lage Zwaluwe,8400382,knooppuntStoptreinstation,Local station,True,NL,51.69111251831,4.6630554199219
LG,Landgraaf,Landgraaf,8400548,knooppuntStoptreinstation,Local station,True,NL,50.896389007568,6.019166469574
LLZM,Lansingerland-Zoetermeer,Lansingerland,8400135,stoptreinstation,Local station,False,NL,52.042222,4.517222
LDM,Leerdam,Leerdam,8400386,stoptreinstation,Local station,False,NL,51.894721984863,5.0913887023926
LW,Leeuwarden,Leeuwarden,8400387,knooppuntIntercitystation,Intercity station,True,NL,53.195835113525,5.7922220230103
LWC,Leeuwarden Camminghaburen,Camminghaburen,8400389,stoptreinstation,Local station,False,NL,53.2021808,5.8422968
LEDN,Leiden Centraal,Leiden C.,8400390,knooppuntIntercitystation,Intercity station,True,NL,52.166110992432,4.4816665649414
LDL,Leiden Lammenschans,Lammenschans,8400384,stoptreinstation,Local station,False,NL,52.146945953369,4.4924998283386
LLS,Lelystad Centrum,Lelystad C.,8400394,knooppuntIntercitystation,Intercity station,True,NL,52.507778167725,5.4727778434753
LTV,Lichtenvoorde-Groenlo,Lichtenvoorde-G.,8400395,stoptreinstation,Local station,False,NL,52.01188,6.59641
LC,Lochem,Lochem,8400399,stoptreinstation,Local station,False,NL,52.166667938232,6.4263887405395
LP,Loppersum,Loppersum,8400403,stoptreinstation,Local station,False,NL,53.3347145,6.7472625
LTN,Lunteren,Lunteren,8400405,stoptreinstation,Local station,False,NL,52.085277557373,5.6244444847107
MZ,Maarheeze,Maarheeze,8400432,stoptreinstation,Local station,False,NL,51.304986,5.629796
MRN,Maarn,Maarn,8400417,knooppuntStoptreinstation,Local station,True,NL,52.064167022705,5.3699998855591
MAS,Maarssen,Maarssen,8400419,stoptreinstation,Local station,False,NL,52.135276794434,5.0336112976074
MT,Maastricht,Maastricht,8400424,knooppuntIntercitystation,Intercity station,True,NL,50.850276947021,5.7055554389954
MTN,Maastricht Noord,Maastricht Noord,8400449,stoptreinstation,Local station,False,NL,50.87087,5.71774
MTR,Maastricht Randwyck,Randwyck,8400426,knooppuntStoptreinstation,Local station,True,NL,50.838611602783,5.7172222137451
MG,Mantgum,Mantgum,8400427,stoptreinstation,Local station,False,NL,53.1296368,5.7131996
MRB,Mariënberg,Mariënberg,8400428,knooppuntSneltreinstation,Fast-train station,True,NL,52.50944519043,6.5752778053284
MTH,Martenshoek,Martenshoek,8400430,stoptreinstation,Local station,False,NL,53.1607232,6.7402989
MES,Meerssen,Meerssen,8400434,sneltreinstation,Fast-train station,False,NL,50.882879392551,5.7509994506836
MP,Meppel,Meppel,8400435,knooppuntStoptreinstation,Local station,True,NL,52.69083404541,6.1975002288818
MDB,Middelburg,Middelburg,8400436,stoptreinstation,Local station,False,NL,51.494720458984,3.6172223091126
MMLH,Mook-Molenhoek,Molenhoek,8400446,stoptreinstation,Local station,False,NL,51.766262,5.879133
NDB,Naarden-Bussum,Naarden-Bussum,8400452,knooppuntStoptreinstation,Local station,True,NL,52.280277252197,5.1569442749023
NWAD,Nieuw Amsterdam,Nw. Amsterdam,8400454,sneltreinstation,Fast-train station,False,NL,52.718612670898,6.8486108779907
NVP,Nieuw Vennep,Nieuw Vennep,8400460,stoptreinstation,Local station,False,NL,52.258888244629,4.6455554962158
NWK,Nieuwerkerk a/d IJssel,Nieuwerkerk,8400455,stoptreinstation,Local station,False,NL,51.965278625488,4.6169443130493
NKK,Nijkerk,Nijkerk,8400469,stoptreinstation,Local station,False,NL,52.222221374512,5.4938888549805
NM,Nijmegen,Nijmegen,8400470,knooppuntIntercitystation,Intercity station,True,NL,51.843612670898,5.8522224426269
NMD,Nijmegen Dukenburg,Dukenburg,8400475,stoptreinstation,Local station,False,NL,51.824165344238,5.7955555915833
NMGO,Nijmegen Goffert,Goffert,8400477,stoptreinstation,Local station,False,NL,51.8273,5.822722
NMH,Nijmegen Heyendaal,Nm Heyendaal,8400468,stoptreinstation,Local station,False,NL,51.826946258545,5.8674998283386
NML,Nijmegen Lent,Lent,8400451,stoptreinstation,Local station,False,NL,51.863154,5.859625
NVD,Nijverdal,Nijverdal,8400472,stoptreinstation,Local station,False,NL,52.366111,6.462
NS,Nunspeet,Nunspeet,8400466,stoptreinstation,Local station,False,NL,52.370834350586,5.7852778434753
NH,Nuth,Nuth,8400467,stoptreinstation,Local station,False,NL,50.919445037842,5.8927779197693
OBD,Obdam,Obdam,8400480,stoptreinstation,Local station,False,NL,52.67805480957,4.9072222709656
OT,Oisterwijk,Oisterwijk,8400482,stoptreinstation,Local station,False,NL,51.582221984863,5.1941666603088
ODZ,Oldenzaal,Oldenzaal,8400483,stoptreinstation,Local station,False,NL,52.30638885498,6.9347224235535
OST,Olst,Olst,8400486,intercitystation,Intercity station,False,NL,52.334720611572,6.1130557060242
OMN,Ommen,Ommen,8400487,knooppuntSneltreinstation,Fast-train station,True,NL,52.50944519043,6.4158334732056
OTB,Oosterbeek,Oosterbeek,8400489,stoptreinstation,Local station,False,NL,51.994998931885,5.8400001525879
OP,Opheusden,Opheusden,8400494,stoptreinstation,Local station,False,NL,51.9261615,5.6371145
O,Oss,Oss,8400495,knooppuntIntercitystation,Intercity station,True,NL,51.765556335449,5.5322222709656
OW,Oss West,Oss West,8400496,stoptreinstation,Local station,False,NL,51.758056640625,5.5055556297302
ODB,Oudenbosch,Oudenbosch,8400498,stoptreinstation,Local station,False,NL,51.587776184082,4.5333333015442
OVN,Overveen,Overveen,8400501,stoptreinstation,Local station,False,NL,52.391109466553,4.6061110496521
PMR,Purmerend,Purmerend,8400508,knooppuntStoptreinstation,Local station,True,NL,52.50305557251,4.9536108970642
PMO,Purmerend Overwhere,Overwhere,8400506,stoptreinstation,Local station,False,NL,52.511390686035,4.9683332443237
PMW,Purmerend Weidevenne,Weidevenne,8400499,stoptreinstation,Local station,False,NL,52.496590632542,4.9356293678284
PT,Putten,Putten,8400509,stoptreinstation,Local station,False,NL,52.264999389648,5.5752778053284
RAT,Raalte,Raalte,8400513,stoptreinstation,Local station,False,NL,52.391666412354,6.2775001525879
RVS,Ravenstein,Ravenstein,8400515,stoptreinstation,Local station,False,NL,51.794166564941,5.6358332633972
RV,Reuver,Reuver,8400518,stoptreinstation,Local station,False,NL,51.28321916653,6.0789585113525
RH,Rheden,Rheden,8400519,stoptreinstation,Local station,False,NL,52.0101,6.0314
RHN,Rhenen,Rhenen,8400517,knooppuntStoptreinstation,Local station,True,NL,51.958610534668,5.5783333778381
RSN,Rijssen,Rijssen,8400538,stoptreinstation,Local station,False,NL,52.3122215271,6.5202779769897
RSW,Rijswijk,Rijswijk,8400505,stoptreinstation,Local station,False,NL,52.039722442627,4.3191666603088
RB,Rilland-Bath,Rilland-Bath,8400521,stoptreinstation,Local station,False,NL,51.422779083252,4.1611108779907
RM,Roermond,Roermond,8400523,knooppuntIntercitystation,Intercity station,True,NL,51.193054199219,5.9941668510437
RD,Roodeschool,Roodeschool,8400525,stoptreinstation,Local station,False,NL,53.421262,6.7587
RSD,Roosendaal,Roosendaal,8400526,knooppuntIntercitystation,Intercity station,True,NL,51.540279388428,4.4583334922791
RS,Rosmalen,Rosmalen,8400524,stoptreinstation,Local station,False,NL,51.714721679688,5.3680553436279
RTA,Rotterdam Alexander,Alexander,8400507,intercitystation,Intercity station,False,NL,51.951946258545,4.5536112785339
RTB,Rotterdam Blaak,Blaak,8400529,stoptreinstation,Local station,False,NL,51.920276641846,4.4888887405395
RTD,Rotterdam Centraal,Rotterdam C.,8400530,megastation,Mega station,False,NL,51.92499923706,4.468888759613
RLB,Rotterdam Lombardijen,Lombardijen,8400542,stoptreinstation,Local station,False,NL,51.880001068115,4.531388759613
RTN,Rotterdam Noord,Rotterdam Noord,8400531,stoptreinstation,Local station,False,NL,51.942222595215,4.4816665649414
RTST,Rotterdam Stadion,R'dam Stadion,8400534,facultatiefStation,Local station,False,NL,51.893890380859,4.5197219848633
RTZ,Rotterdam Zuid,Rotterdam Zuid,8400533,stoptreinstation,Local station,False,NL,51.904445648193,4.5102777481079
RL,Ruurlo,Ruurlo,8400537,stoptreinstation,Local station,False,NL,52.0810888,6.4492656
SPTN,Santpoort Noord,Santpoort Noord,8400543,stoptreinstation,Local station,False,NL,52.43388748169,4.6325001716614
SPTZ,Santpoort Zuid,Santpoort Zuid,8400544,stoptreinstation,Local station,False,NL,52.419723510742,4.6313886642456
SSH,Sassenheim,Sassenheim,8400603,stoptreinstation,Local station,False,NL,52.215278,4.517222
SWD,Sauwerd,Sauwerd,8400547,stoptreinstation,Local station,False,NL,53.29113,6.5404
SGN,Schagen,Schagen,8400549,stoptreinstation,Local station,False,NL,52.784442901611,4.8052778244019
SDA,Scheemda,Scheemda,8400551,stoptreinstation,Local station,False,NL,53.1655362,6.9777775
SDM,Schiedam Centrum,Schiedam C.,8400553,stoptreinstation,Local station,False,NL,51.921243812803,4.4089937210083
SOG,Schin op Geul,Schin op Geul,8400555,stoptreinstation,Local station,False,NL,50.856388092041,5.8722224235535
SN,Schinnen,Schinnen,8400554,stoptreinstation,Local station,False,NL,50.939167022705,5.8744444847107
SHL,Schiphol Airport,Schiphol Airport,8400561,megastation,Mega station,False,NL,52.30944442749,4.7619442939758
STD,Sittard,Sittard,8400564,knooppuntIntercitystation,Intercity station,True,NL,51.001667022705,5.8586111068726
SDT,Sliedrecht,Sliedrecht,8400565,stoptreinstation,Local station,False,NL,51.829723358154,4.7783331871033
SDTB,Sliedrecht Baanhoek,Baanhoek,8400497,stoptreinstation,Local station,False,NL,51.829722,4.743333
SK,Sneek,Sneek,8400566,knooppuntStoptreinstation,Local station,True,NL,53.0328688,5.6523969
SKND,Sneek Noord,Sneek Noord,8400574,stoptreinstation,Local station,False,NL,53.0409319,5.6631808
ST,Soest,Soest,8400567,knooppuntStoptreinstation,Local station,True,NL,52.173332214355,5.3099999427795
STZ,Soest Zuid,Soest Zuid,8400571,stoptreinstation,Local station,False,NL,52.165279388428,5.3030557632446
SD,Soestdijk,Soestdijk,8400569,stoptreinstation,Local station,False,NL,52.183612823486,5.3000001907349
SBK,Spaubeek,Spaubeek,8400572,stoptreinstation,Local station,False,NL,50.94327,5.850529
STV,Stavoren,Stavoren,8400575,stoptreinstation,Local station,False,NL,52.8865535,5.3600212
STM,Stedum,Stedum,8400576,stoptreinstation,Local station,False,NL,53.3262092,6.6875551
SWK,Steenwijk,Steenwijk,8400578,intercitystation,Intercity station,False,NL,52.791510992432,6.1145557632446
SRN,Susteren,Susteren,8400582,stoptreinstation,Local station,False,NL,51.061389923096,5.8630557060242
SM,Swalmen,Swalmen,8400583,stoptreinstation,Local station,False,NL,51.23582,6.03228
TG,Tegelen,Tegelen,8400591,stoptreinstation,Local station,False,NL,51.33894,6.14253
TBG,Terborg,Terborg,8400592,stoptreinstation,Local station,False,NL,51.9224549,6.3642466
TL,Tiel,Tiel,8400596,knooppuntStoptreinstation,Local station,True,NL,51.889446258545,5.4222221374512
TPSW,Tiel Passewaaij,Passewaaij,8400600,stoptreinstation,Local station,False,NL,51.873889923096,5.39222240448
TB,Tilburg,Tilburg,8400597,knooppuntIntercitystation,Intercity station,True,NL,51.560554504395,5.0836110115051
TBR,Tilburg Reeshof,Reeshof,8400598,stoptreinstation,Local station,False,NL,51.573612213135,4.9944443702698
TBU,Tilburg Universiteit,Tilburg Uni.,8400594,stoptreinstation,Local station,False,NL,51.564985,5.051778
TWL,Twello,Twello,8400599,stoptreinstation,Local station,False,NL,52.237777709961,6.0986108779907
UTG,Uitgeest,Uitgeest,8400615,knooppuntStoptreinstation,Local station,True,NL,52.521667480469,4.7016668319702
UHZ,Uithuizen,Uithuizen,8400617,stoptreinstation,Local station,False,NL,53.4099568,6.6748869
UHM,Uithuizermeeden,Uithuizermeeden,8400618,stoptreinstation,Local station,False,NL,53.4145845,6.7202975
UST,Usquert,Usquert,8400619,stoptreinstation,Local station,False,NL,53.4014742,6.6093776
UT,Utrecht Centraal,Utrecht C.,8400621,megastation,Mega station,False,NL,52.088890075684,5.1102776527405
UTLR,Utrecht Leidsche Rijn,Leidsche Rijn,8400607,stoptreinstation,Local station,False,NL,52.09896,5.06523
UTLN,Utrecht Lunetten,Lunetten,8400623,stoptreinstation,Local station,False,NL,52.06555557251,5.144166469574
UTM,Utrecht Maliebaan,Maliebaan,8400624,stoptreinstation,Local station,False,NL,52.087776184082,5.1313886642456
UTO,Utrecht Overvecht,Overvecht,8400620,knooppuntStoptreinstation,Local station,True,NL,52.110000610352,5.1247220039368
UTT,Utrecht Terwijde,Terwijde,8400614,stoptreinstation,Local station,False,NL,52.1000753,5.0439547
UTVR,Utrecht Vaartsche Rijn,Vaartsche Rijn,8400606,knooppuntStoptreinstation,Local station,True,NL,52.078889,5.121667
